"Index","Kind","Url","Status","Output","Message"
"1","web","http://saifmohammad.com/","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\001_saifmohammad.com_index.html",""
"2","web","http://saifmohammad.com/WebPages/ResearchAreas.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\002_saifmohammad.com_ResearchAreas.html",""
"3","web","http://saifmohammad.com/WebPages/ResearchInterests.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\003_saifmohammad.com_ResearchInterests.html",""
"4","web","http://saifmohammad.com/WebPages/lexicons.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\004_saifmohammad.com_lexicons.html",""
"5","web","http://saifmohammad.com/WebPages/SentimentEmotionLabeledData.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\005_saifmohammad.com_SentimentEmotionLabeledData.html",""
"6","web","http://saifmohammad.com/WebPages/invitedtalks.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\006_saifmohammad.com_invitedtalks.html",""
"7","web","http://saifmohammad.com/WebPages/contact.htm","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\007_saifmohammad.com_contact.htm",""
"8","web","https://saifmohammad.com/WebDocs/EmoLex-Ethics-Data-Statement.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\008_saifmohammad.com_EmoLex-Ethics-Data-Statement.pdf",""
"9","github","https://github.com/Priya22/EmotionDynamics","cloned_and_downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\009_github.com_EmotionDynamics.html","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\github_repos\Priya22__EmotionDynamics"
"10","web","https://arxiv.org/abs/2204.04862","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\010_arxiv.org_2204.04862",""
"11","web","https://saifmohammad.com/index.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\011_saifmohammad.com_index.html",""
"12","web","https://saifmohammad.com/WebPages/BestWorst.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\012_saifmohammad.com_BestWorst.html",""
"13","web","https://saifmohammad.com/WebPages/NRC-Emotion-Lexicon.htm","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\013_saifmohammad.com_NRC-Emotion-Lexicon.htm",""
"14","web","http://arxiv.org/pdf/1308.6297.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\014_arxiv.org_1308.6297.pdf",""
"15","web","https://saifmohammad.com/WebPages/Abstracts/crowdemo.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\015_saifmohammad.com_crowdemo.bib.txt",""
"16","web","https://saifmohammad.com/WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\016_saifmohammad.com_Mohammad-Turney-NAACL10-EmotionWorkshop.pdf",""
