source,status,output
raw\001_saifmohammad.com_index.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\001_saifmohammad.com_index.txt
raw\002_saifmohammad.com_ResearchAreas.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\002_saifmohammad.com_ResearchAreas.txt
raw\003_saifmohammad.com_ResearchInterests.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\003_saifmohammad.com_ResearchInterests.txt
raw\004_saifmohammad.com_lexicons.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\004_saifmohammad.com_lexicons.txt
raw\005_saifmohammad.com_SentimentEmotionLabeledData.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\005_saifmohammad.com_SentimentEmotionLabeledData.txt
raw\006_saifmohammad.com_invitedtalks.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\006_saifmohammad.com_invitedtalks.txt
raw\007_saifmohammad.com_contact.htm,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\007_saifmohammad.com_contact.txt
raw\008_saifmohammad.com_EmoLex-Ethics-Data-Statement.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\008_saifmohammad.com_EmoLex-Ethics-Data-Statement.txt
raw\009_github.com_EmotionDynamics.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\009_github.com_EmotionDynamics.txt
raw\010_arxiv.org_2204.04862,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\010_arxiv.org_2204.txt
raw\011_saifmohammad.com_index.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\011_saifmohammad.com_index.txt
raw\012_saifmohammad.com_BestWorst.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\012_saifmohammad.com_BestWorst.txt
raw\013_saifmohammad.com_NRC-Emotion-Lexicon.htm,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\013_saifmohammad.com_NRC-Emotion-Lexicon.txt
raw\014_arxiv.org_1308.6297.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\014_arxiv.org_1308.6297.txt
raw\015_saifmohammad.com_crowdemo.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\015_saifmohammad.com_crowdemo.bib.txt
raw\016_saifmohammad.com_Mohammad-Turney-NAACL10-EmotionWorkshop.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\016_saifmohammad.com_Mohammad-Turney-NAACL10-EmotionWorkshop.txt
raw\017_saifmohammad.com_Mohammad-Turney-NAACL10-EmotionWorkshop-slides.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\017_saifmohammad.com_Mohammad-Turney-NAACL10-EmotionWorkshop-slides.txt
raw\018_saifmohammad.com_AffectIntensity.htm,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\018_saifmohammad.com_AffectIntensity.txt
raw\019_arxiv.org_1704.08798,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\019_arxiv.org_1704.txt
raw\020_saifmohammad.com_lrec2018-paper-word-emotion.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\020_saifmohammad.com_lrec2018-paper-word-emotion.txt
raw\021_saifmohammad.com_AIL.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\021_saifmohammad.com_AIL.bib.txt
raw\022_saifmohammad.com_LREC2018-word-emo-talk.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\022_saifmohammad.com_LREC2018-word-emo-talk.txt
raw\023_saifmohammad.com_nrc-vad.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\023_saifmohammad.com_nrc-vad.txt
raw\024_saifmohammad.com_acl2018-VAD.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\024_saifmohammad.com_acl2018-VAD.txt
raw\025_saifmohammad.com_vad-acl18.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\025_saifmohammad.com_vad-acl18.bib.txt
raw\026_saifmohammad.com_worrywords.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\026_saifmohammad.com_worrywords.txt
raw\027_saifmohammad.com_worrywords-emnlp2024.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\027_saifmohammad.com_worrywords-emnlp2024.txt
raw\028_saifmohammad.com_worrywords-emnlp2024.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\028_saifmohammad.com_worrywords-emnlp2024.bib.txt
raw\029_saifmohammad.com_WorryWords-poster.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\029_saifmohammad.com_WorryWords-poster.txt
raw\030_saifmohammad.com_warmth.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\030_saifmohammad.com_warmth.txt
raw\031_www.arxiv.org_2506.03993,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\031_www.arxiv.org_2506.txt
raw\032_saifmohammad.com_SCL.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\032_saifmohammad.com_SCL.txt
raw\033_saifmohammad.com_SCL-NMA-wassa2016.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\033_saifmohammad.com_SCL-NMA-wassa2016.txt
raw\034_saifmohammad.com_scl-nma-wassa.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\034_saifmohammad.com_scl-nma-wassa.bib.txt
raw\035_saifmohammad.com_WASSA-2016-SCL-NMA.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\035_saifmohammad.com_WASSA-2016-SCL-NMA.txt
raw\036_saifmohammad.com_BWS-naacl2016.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\036_saifmohammad.com_BWS-naacl2016.txt
raw\037_saifmohammad.com_BWS-naacl16.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\037_saifmohammad.com_BWS-naacl16.bib.txt
raw\038_saifmohammad.com_NAACL-2016-best-worst.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\038_saifmohammad.com_NAACL-2016-best-worst.txt
raw\039_saifmohammad.com_semeval2016-task7.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\039_saifmohammad.com_semeval2016-task7.txt
raw\040_saifmohammad.com_Sem16-Task7.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\040_saifmohammad.com_Sem16-Task7.bib.txt
raw\041_saifmohammad.com_SemEval-2016-Task7.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\041_saifmohammad.com_SemEval-2016-Task7.txt
raw\042_alt.qcri.org_index.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\042_alt.qcri.org_index.txt
raw\043_saifmohammad.com_SCL.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\043_saifmohammad.com_SCL.txt
raw\044_saifmohammad.com_semeval-2015-task10.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\044_saifmohammad.com_semeval-2015-task10.txt
raw\045_alt.qcri.org_SemEval078.bib,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\045_alt.qcri.org_SemEval078.bib
raw\046_saifmohammad.com_NRC-Sentiment-JAIR-2014.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\046_saifmohammad.com_NRC-Sentiment-JAIR-2014.txt
raw\047_saifmohammad.com_JAIR14-bibtex.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\047_saifmohammad.com_JAIR14-bibtex.txt
raw\048_saifmohammad.com_OPP-naacl2016.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\048_saifmohammad.com_OPP-naacl2016.txt
raw\049_saifmohammad.com_scl-opp-naacl.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\049_saifmohammad.com_scl-opp-naacl.bib.txt
raw\050_saifmohammad.com_NAACL-2016-opposing-polarity.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\050_saifmohammad.com_NAACL-2016-opposing-polarity.txt
raw\051_saifmohammad.com_OpposingPolarityLexicon-LREC2016.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\051_saifmohammad.com_OpposingPolarityLexicon-LREC2016.txt
raw\052_saifmohammad.com_scl-opp-lrec.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\052_saifmohammad.com_scl-opp-lrec.bib.txt
raw\053_saifmohammad.com_LREC-2016-Opposing-Polarity-Lexicon-poster.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\053_saifmohammad.com_LREC-2016-Opposing-Polarity-Lexicon-poster.txt
raw\054_saifmohammad.com_NRC-Colour-Lexicon-v0.92.zip,skipped,
raw\057_saifmohammad.com_CogMod-colours.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\057_saifmohammad.com_CogMod-colours.txt
raw\060_saifmohammad.com_ACL2011-word-colour-associations-poster.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\060_saifmohammad.com_ACL2011-word-colour-associations-poster.txt
raw\061_saifmohammad.com_NRC-Hashtag-Emotion-Lexicon-v0.2.zip,skipped,
raw\062_saifmohammad.com_Jan9-2012-tweets-clean.txt.zip,skipped,
raw\063_saifmohammad.com_hashtags-MK.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\063_saifmohammad.com_hashtags-MK.txt
raw\064_ixa2.si.ehu.es_STARSEM-SEMEVAL033.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\064_ixa2.si.ehu.es_STARSEM-SEMEVAL033.txt
raw\065_saifmohammad.com_NRC-Hashtag-Sentiment-Lexicon-v0.1.zip,skipped,
raw\066_saifmohammad.com_NRC-Hashtag-Sentiment-AffLexNegLex-v1.0.zip,skipped,
raw\067_saifmohammad.com_NRC-Emoticon-Lexicon-v1.0.zip,skipped,
raw\068_saifmohammad.com_NRC-Emoticon-AffLexNegLex-v1.0.zip,skipped,
raw\069_saifmohammad.com_sentimentMKZ.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\069_saifmohammad.com_sentimentMKZ.txt
raw\070_saifmohammad.com_semeval2013.bib.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\070_saifmohammad.com_semeval2013.bib.txt
raw\071_saifmohammad.com_SemEval2014-Task9.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\071_saifmohammad.com_SemEval2014-Task9.txt
raw\072_saifmohammad.com_Yelp-restaurant-reviews.zip,skipped,
raw\073_www.yelp.ca_academic_dataset.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\073_www.yelp.ca_academic_dataset.txt
raw\074_saifmohammad.com_selected-restCats.txt,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\074_saifmohammad.com_selected-restCats.txt
raw\075_saifmohammad.com_Amazon-laptop-electronics-reviews.zip,skipped,
raw\076_saifmohammad.com_NRC-SemEval2014-Task4.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\076_saifmohammad.com_NRC-SemEval2014-Task4.txt
raw\077_alt.qcri.org_SemEval076.bib,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\077_alt.qcri.org_SemEval076.bib
raw\078_saifmohammad.com_NRC_Yelp_Word_Aspect_Association_Lexicons.zip,skipped,
raw\079_saifmohammad.com_MSOL-June15-09.txt.zip,skipped,
raw\080_saifmohammad.com_Mohammad-Dunne-Dorr-SO-EMNLP09.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\080_saifmohammad.com_Mohammad-Dunne-Dorr-SO-EMNLP09.txt
raw\081_saifmohammad.com_ArabicSA.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\081_saifmohammad.com_ArabicSA.txt
raw\082_saifmohammad.com_NRC-Canada-Sentiment.htm,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\082_saifmohammad.com_NRC-Canada-Sentiment.txt
raw\083_github.com_AffectiveTweets.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\083_github.com_AffectiveTweets.txt
raw\084_saifmohammad.com_CA-poster-final.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\084_saifmohammad.com_CA-poster-final.txt
raw\085_saifmohammad.com_Students.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\085_saifmohammad.com_Students.txt
raw\086_aclanthology.org_W11-0611.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\086_aclanthology.org_W11-0611.txt
raw\088_aclanthology.org_W11-0611.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\088_aclanthology.org_W11-0611.txt
raw\089_aclanthology.org_P11-2064.html,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\html\089_aclanthology.org_P11-2064.txt
raw\090_aclanthology.org_P11-2064.bib,copied,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\090_aclanthology.org_P11-2064.bib
raw\091_aclanthology.org_P11-2064.pdf,ok,C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\text\pdf\091_aclanthology.org_P11-2064.txt
