id,text
1,I finally received the scholarship and I feel proud happy and hopeful.
2,The emergency alert made everyone afraid because the storm arrived at night.
3,I am furious about the delays and the rude excuses from the company.
4,She felt lonely and sad after reading the last message.
5,The doctor explained the plan clearly and I trust the team.
6,Nobody expected the sudden announcement and the audience was amazed.
7,The spoiled food smelled awful and made everyone disgusted.
8,I keep checking the page because the final results should arrive soon.
9,The rude support reply made me angry and frustrated.
10,The team celebrated a joyful victory after the final whistle.
11,The dark hallway made me nervous and scared.
12,The investigation exposed filthy rooms and unacceptable hygiene.
13,The old letter made me miss my friends and feel sad.
14,Investors waited anxiously for the important announcement.
15,Her honest apology made me feel secure and reassured.
16,The plot twist shocked me and I did not see it coming.
17,People protested after the unfair decision and shouted in anger.
18,The rescue news made the whole neighborhood smile with relief.
19,The strange noise outside made my heart race.
20,The gross mess in the kitchen ruined my appetite.
21,I packed early because I am excited for tomorrow's trip.
22,The community mourned the tragic loss of a beloved teacher.
23,Officials expressed confidence in the safety of the bridge.
24,Researchers found an unexpected signal in the data.
25,I hate that they keep promising help and doing nothing.
26,The festival opened with music dancing and laughter.
27,Evacuation warnings frightened families near the river.
28,The moldy bread and sour milk made me feel sick.
29,The countdown started and everyone is eager for the reveal.
30,The empty apartment felt painfully quiet after she left.
31,Independent experts backed the report and its conclusions.
32,The sudden resignation surprised the entire newsroom.
33,My patience disappeared after waiting three hours for support.
34,The little gift made me feel loved and appreciated.
35,I froze when the elevator stopped between floors.
36,Seeing trash dumped in the park made me nauseous.
37,The unopened letter sat on my desk like a promise.
38,Residents described heartbreak after losing their homes.
39,The clear instructions made everyone more confident.
40,She arrived early and caught me totally off guard.
